m, a2, b4, alpha, betaoverH, Tstar
70.0, 0.3, 0.075, 0.0651952036203, 294.695297296, 69.0540401317
70.0, 0.4, 0.175, 0.0836512900623, 438.751924577, 61.1151920588
70.0, 0.5, 0.3, 0.293587198392, 409.878049333, 42.3974921014
70.0, 0.6, 0.475, 0.184171876701, 689.912952743, 45.721223909
70.0, 0.7, 0.675, 0.258270679569, 1183.47662627, 40.3516516219
70.0, 0.8, 0.9, 0.563074289757, 2419.50645919, 31.8851316499
70.0, 0.9, 1.175, 0.435524152157, 4500.5495161, 32.9482265232
70.0, 1.0, 1.5, 0.228746265668, 5883.48462827, 37.8788256045
70.0, 1.1, 1.8, 0.801099042323, 11093.3900643, 26.576718518
70.0, 1.2, 2.2, 0.292073182335, 11746.2710281, 33.5093843419
70.0, 1.3, 2.6, 0.29451650105, 16545.3672183, 32.5253764778
70.0, 1.4, 3.0, 1.00359544468, 2805.41793771, 23.7401340962
80.0, 0.3, 0.05, 0.014290582306, 586.68774222, 101.715522347
80.0, 0.4, 0.15, 0.0228867416411, 654.314746004, 87.6793352571
80.0, 0.5, 0.275, 0.0439126927616, 538.053472604, 72.1821974951
80.0, 0.6, 0.425, 0.114643186415, 419.472272392, 54.8360763543
80.0, 0.7, 0.6, 0.685325259885, 406.222226537, 33.8043592296
80.0, 0.8, 0.825, 0.977643074868, 799.815808182, 29.9574608979
80.0, 0.9, 1.1, 0.456285236247, 1097.61827922, 35.1449684555
80.0, 1.0, 1.4, 0.4422369901, 1958.64621944, 34.4680969714
80.0, 1.1, 1.725, 0.572855434858, 2692.23767777, 31.4685158565
80.0, 1.2, 2.075, 0.90475100845, 6471.43848829, 27.4260394401
80.0, 1.3, 2.55, 0.171501502748, 5957.9042658, 41.0648527098
80.0, 1.4, 2.925, 0.398712712858, 8104.03538621, 32.1327361473
90.0, 0.4, 0.1, 0.0146656718774, 598.715155631, 100.077584757
90.0, 0.5, 0.2, 0.11305784338, 154.814548655, 60.1590287742
90.0, 0.6, 0.35, 0.187882864923, 153.122901171, 51.1256866561
90.0, 0.7, 0.525, 0.785621458365, 137.945814343, 34.683683985
90.0, 0.8, 0.75, 0.492584267584, 263.090972732, 37.7019764338
90.0, 0.9, 1.0, 0.818239028387, 398.346308608, 32.3614893901
90.0, 1.0, 1.3, 0.505798860255, 709.078170569, 35.5253628896
90.0, 1.1, 1.625, 0.527628920193, 912.705178673, 34.3398996506
90.0, 1.2, 1.975, 0.712572485346, 2012.79585417, 31.1845872716
90.0, 1.3, 2.375, 0.543501367742, 3150.11135322, 32.6523211307
90.0, 1.4, 2.8, 0.516369124253, 2555.84431827, 32.4239807993
100.0, 0.5, 0.15, 0.0197830274844, 368.692140096, 93.5846082047
100.0, 0.6, 0.275, 0.0990405716043, 132.910728363, 62.4071577718
100.0, 0.7, 0.45, 0.161678168574, 105.909380176, 53.6778996826
100.0, 0.8, 0.675, 0.110652061851, 251.260343224, 57.2356208047
100.0, 0.9, 0.9, 0.48026883119, 168.328265293, 38.8570428538
100.0, 1.0, 1.175, 0.867746137384, 242.607068476, 32.8401080026
100.0, 1.1, 1.5, 0.573264628187, 356.959869104, 35.5450001341
100.0, 1.2, 1.85, 0.642662278888, 504.192399773, 33.868448241
100.0, 1.3, 2.225, 0.888777700085, 854.767531107, 30.716057434
100.0, 1.4, 2.65, 0.693055684361, 1031.73871329, 32.0415905451
110.0, 0.5, 0.075, 0.00907886607838, 441.159091494, 112.301659858
110.0, 0.6, 0.2, 0.0254391246134, 265.802023001, 88.5936382897
110.0, 0.7, 0.35, 0.0904160701183, 94.8193971967, 64.1987415658
110.0, 0.8, 0.55, 0.138890406286, 98.6796577917, 56.3517897302
110.0, 0.9, 0.8, 0.115097497544, 172.991147748, 57.6067419348
110.0, 1.0, 1.05, 0.400080601625, 117.70248278, 41.5077781387
110.0, 1.1, 1.35, 0.749853288887, 137.674686347, 34.8993885555
110.0, 1.2, 1.7, 0.570969151384, 233.671461302, 36.5732836505
110.0, 1.3, 2.075, 0.656487713175, 322.947225517, 34.731571916
110.0, 1.4, 2.475, 0.936353298471, 490.312370044, 31.3647635644
110.0, 1.5, 2.925, 0.756102673635, 791.690536153, 32.4957144223
120.0, 0.6, 0.1, 0.0179375844806, 185.381615374, 98.312913872
120.0, 0.7, 0.25, 0.0270700400375, 249.912568644, 87.5606099026
120.0, 0.8, 0.425, 0.067858354177, 135.18151379, 69.2116414501
120.0, 0.9, 0.65, 0.0916003067281, 134.562016143, 62.9872034614
120.0, 1.0, 0.9, 0.232847157735, 193.380808215, 49.2443481672
120.0, 1.1, 1.225, 0.114668714257, 52.7250340723, 57.363080728
120.0, 1.2, 1.525, 0.440134683521, 109.125831332, 40.5902119221
120.0, 1.3, 1.9, 0.41295001277, 157.210073097, 40.5345600109
120.0, 1.4, 2.3, 0.520315931171, 215.378735569, 37.7258081374
120.0, 1.5, 2.725, 0.775734320888, 274.293813389, 33.7698391641
130.0, 0.7, 0.125, 0.0208236888213, 138.204117409, 95.2927341693
130.0, 0.8, 0.3, 0.0216038995879, 264.374389964, 92.2285554606
130.0, 0.9, 0.5, 0.0422583182781, 267.188290868, 77.832292817
130.0, 1.0, 0.725, 0.127348451926, 71.0776319524, 58.8435398402
130.0, 1.1, 1.0, 0.3783715438, 25.9345691, 44.4398493598
130.0, 1.2, 1.325, 0.325144565036, 63.9474420746, 45.2849812573
130.0, 1.3, 1.7, 0.214141510671, 111.350348323, 49.3146466029
130.0, 1.4, 2.075, 0.427880138683, 99.860548714, 41.046935811
130.0, 1.5, 2.5, 0.571791679166, 130.512714445, 37.7480415222
130.0, 1.6, 2.95, 0.888143826067, 177.995203436, 33.5545051402
140.0, 0.8, 0.15, 0.0117373687742, 246.88826696, 106.762548906
140.0, 0.9, 0.325, 0.0270876086447, 189.345780902, 88.2216164416
140.0, 1.0, 0.55, 0.0388002269036, 160.286670871, 79.899371966
140.0, 1.1, 0.8, 0.0835495478981, 70.6824479298, 65.706984937
140.0, 1.2, 1.1, 0.133895211953, 64.7992289454, 57.7740832285
140.0, 1.3, 1.45, 0.152392941528, 84.2499283919, 55.1699512531
140.0, 1.4, 1.825, 0.263670441797, 59.2025640327, 47.6688840098
140.0, 1.5, 2.225, 0.739784588455, 166.20994888, 36.7349140695
140.0, 1.6, 2.675, 0.769491142475, 70.3084325779, 35.9290983068
150.0, 1.0, 0.35, 0.0232706746454, 133.117487208, 91.6745097114
150.0, 1.1, 0.575, 0.043808852418, 125.630945652, 78.2843333075
150.0, 1.2, 0.85, 0.0713764077149, 127.567954296, 68.8375289247
150.0, 1.3, 1.175, 0.0916768974686, 80.4583162657, 63.9511038773
150.0, 1.4, 1.525, 0.20162218004, 53.3904584674, 52.2771681285
150.0, 1.5, 1.925, 0.333086585109, 30.1227067519, 45.7647690632
150.0, 1.6, 2.375, 0.320292584219, 49.3518938918, 45.6415565826
150.0, 1.7, 2.85, 0.452715880225, 51.0457145701, 41.5522963722
160.0, 1.1, 0.35, 0.0203350227013, 138.725043115, 94.7210498549
160.0, 1.2, 0.575, 0.0735834669411, 33.7740756493, 70.0579480032
160.0, 1.3, 0.9, 0.0363027674798, 147.25399008, 81.0873939531
160.0, 1.4, 1.2, 0.148259921771, 29.2597206859, 57.6957652383
160.0, 1.5, 1.6, 0.0990663093819, 103.24154144, 62.6689496416
160.0, 1.6, 2.025, 0.135215224772, 81.4433248538, 57.5492046759
160.0, 1.7, 2.475, 0.259348053753, 38.1144567087, 48.7322519537
160.0, 1.8, 2.975, 0.319921746081, 57.3693785604, 45.8549684035
170.0, 1.2, 0.325, 0.0213953593395, 83.730933974, 94.1681325715
170.0, 1.3, 0.575, 0.0338032039566, 74.8546427491, 84.1208235439
170.0, 1.4, 0.875, 0.0499828677976, 81.6542624449, 76.0417899375
170.0, 1.5, 1.225, 0.0660459814711, 81.3196262237, 70.4504604805
170.0, 1.6, 1.625, 0.0834535645408, 76.8424205787, 65.9679745832
170.0, 1.7, 2.05, 0.170380972287, 36.413438018, 55.1412767908
170.0, 1.8, 2.55, 0.150586259074, 66.0800674437, 56.2247792205
180.0, 1.4, 0.55, 0.0205938115423, 148.736969627, 94.1331398061
180.0, 1.5, 0.85, 0.0341902629554, 117.387859311, 83.4280378841
180.0, 1.6, 1.2, 0.0558191147241, 91.6380190428, 73.899250253
180.0, 1.7, 1.6, 0.0855577803855, 54.3331696478, 66.2445034684
180.0, 1.8, 2.05, 0.126314849486, 39.6995856142, 59.8677837653
180.0, 1.9, 2.55, 0.179363533952, 34.7885571885, 54.6001210673
190.0, 1.5, 0.475, 0.0256233738617, 63.9998593479, 90.5146541157
190.0, 1.6, 0.775, 0.0385999709003, 57.1137402907, 81.8338893837
190.0, 1.7, 1.125, 0.0696820886685, 27.6380805059, 70.836646277
190.0, 1.8, 1.55, 0.0604719380761, 62.657352392, 72.459252308
190.0, 1.9, 2.0, 0.113138541841, 49.4100381944, 62.0859305218
190.0, 2.0, 2.525, 0.106880543929, 67.3603864467, 62.3851470758
200.0, 1.7, 0.7, 0.0188493847529, 108.643359298, 95.9832496434
200.0, 1.8, 1.05, 0.0306328554194, 116.406428734, 85.8476263688
200.0, 1.9, 1.45, 0.0474804948295, 78.1687988129, 77.196579915
200.0, 2.0, 1.9, 0.0869420304313, 37.9316143797, 66.6448105932
200.0, 2.1, 2.425, 0.0996146175807, 51.6892443165, 64.062270058
200.0, 2.2, 3.0, 0.126100037603, 44.189291152, 60.1826988668
210.0, 1.8, 0.575, 0.0145090153149, 156.796680063, 101.691575582
210.0, 1.9, 0.9, 0.0335811402021, 97.6418991777, 84.7481445065
210.0, 2.0, 1.3, 0.0455076771877, 41.6920235316, 78.5543636656
210.0, 2.1, 1.75, 0.0766410871762, 25.4771463569, 69.226018556
210.0, 2.2, 2.275, 0.0791211982934, 53.7136029299, 68.2160716302
210.0, 2.3, 2.85, 0.111225954275, 33.4386371809, 62.5970501204
220.0, 2.0, 0.75, 0.0167292921375, 157.033152882, 98.6404885216
220.0, 2.1, 1.125, 0.0301709084116, 89.8767555843, 86.6147313683
220.0, 2.2, 1.575, 0.0378037358838, 51.4746779863, 81.8546034064
220.0, 2.3, 2.075, 0.0566251569574, 56.8951337544, 74.2727924715
220.0, 2.4, 2.65, 0.0751372206013, 63.1994976885, 69.1919749444
230.0, 2.2, 0.9, 0.0372848531291, 27.1174309065, 83.3105374056
230.0, 2.3, 1.325, 0.0383297619453, 57.7976359833, 82.1898943721
230.0, 2.4, 1.8, 0.0756774796632, 27.9807404318, 70.0542965054
230.0, 2.5, 2.375, 0.0574497491913, 66.1823484874, 74.1593838251
230.0, 2.6, 2.975, 0.124016088116, 24.1871393411, 61.7663498003
240.0, 2.4, 1.075, 0.0174632021164, 124.355346021, 97.5981763402
240.0, 2.5, 1.525, 0.0292264145583, 74.5376995832, 87.2153429966
240.0, 2.6, 2.05, 0.0426266176725, 102.408377676, 79.8612165738
240.0, 2.7, 2.65, 0.0558942880822, 60.3812463852, 74.786948406
250.0, 2.6, 1.2, 0.0181296839916, 89.8988628863, 96.8480070569
250.0, 2.7, 1.7, 0.0234656622143, 101.396565346, 91.4407463856
250.0, 2.8, 2.25, 0.0394037695683, 113.159862613, 81.4124974131
250.0, 2.9, 2.875, 0.0646584640875, 45.3300757329, 72.523093207
260.0, 2.8, 1.3, 0.0166365163417, 100.101861208, 98.5564119912
260.0, 2.9, 1.8, 0.030949767677, 35.3693447805, 86.3004674566
