mH, tanb, mA, Tc,      xi_c,      Tn,      xi_n,    alpha_n,   beta_H_n
#
450.0, 30.00, 625.0, 117.714, 1.2488, 117.078, 1.3144, 4.848e-03, 44119.523
450.0, 30.00, 640.0, 110.800, 1.5836, 109.229, 1.6775, 7.576e-03, 16723.607
450.0, 30.00, 645.0, 108.343, 1.6919, 106.315, 1.7998, 8.652e-03, 12707.822
450.0, 30.00, 648.0, 106.824, 1.7570, 104.472, 1.8752, 9.362e-03, 10691.982
450.0, 30.00, 650.0, 105.790, 1.8007, 103.200, 1.9265, 9.868e-03, 9512.234
450.0, 30.00, 653.0, 104.206, 1.8669, 101.222, 2.0055, 1.069e-02, 8063.901
450.0, 30.00, 655.0, 103.125, 1.9115, 99.851, 2.0599, 1.128e-02, 7220.013
450.0, 30.00, 660.0, 100.328, 2.0255, 96.215, 2.2035, 1.298e-02, 5474.426
450.0, 30.00, 665.0, 97.376, 2.1447, 92.228, 2.3620, 1.510e-02, 4134.757
450.0, 30.00, 670.0, 94.240, 2.2710, 87.790, 2.5429, 1.791e-02, 3074.352
450.0, 30.00, 675.0, 90.886, 2.4076, 82.744, 2.7585, 2.188e-02, 2219.162
450.0, 30.00, 685.0, 83.316, 2.7285, 69.202, 3.4310, 3.985e-02, 903.651
450.0, 30.00, 690.0, 78.950, 2.9272, 59.618, 4.0480, 6.977e-02, 601.360
450.0, 30.00, 692.0, 77.060, 3.0175, 54.811, 4.4283, 9.568e-02, 397.885
450.0, 30.00, 695.0, 74.033, 3.1686, 44.388, 5.5131, 2.153e-01, 158.514
#
400.0, 30.00, 600.0, 108.243, 1.6890, 106.268, 1.7956, 8.919e-03, 13019.996
400.0, 30.00, 610.0, 103.439, 1.8937, 100.344, 2.0366, 1.138e-02, 7704.629
400.0, 30.00, 615.0, 100.872, 1.9996, 97.035, 2.1682, 1.292e-02, 5949.606
400.0, 30.00, 620.0, 98.170, 2.1096, 93.429, 2.3118, 1.480e-02, 4579.072
400.0, 30.00, 622.0, 97.047, 2.1551, 91.888, 2.3738, 1.568e-02, 4111.321
400.0, 30.00, 624.0, 95.896, 2.2017, 90.281, 2.4390, 1.666e-02, 3682.618
400.0, 30.00, 625.0, 95.310, 2.2255, 89.451, 2.4729, 1.719e-02, 3483.335
400.0, 30.00, 628.0, 93.507, 2.2987, 86.838, 2.5814, 1.899e-02, 2926.379
400.0, 30.00, 630.0, 92.263, 2.3494, 84.984, 2.6601, 2.041e-02, 2590.730
400.0, 30.00, 632.0, 90.984, 2.4019, 83.023, 2.7453, 2.205e-02, 2280.517
400.0, 30.00, 635.0, 88.992, 2.4845, 79.843, 2.8884, 2.509e-02, 1855.392
400.0, 30.00, 642.0, 83.940, 2.7002, 70.563, 3.3544, 3.774e-02, 990.644
400.0, 30.00, 644.0, 82.374, 2.7696, 67.371, 3.5370, 4.485e-02, 904.134
400.0, 30.00, 645.0, 81.567, 2.8059, 65.678, 3.6397, 4.930e-02, 761.584
400.0, 30.00, 646.0, 80.743, 2.8434, 63.874, 3.7541, 5.468e-02, 716.496
400.0, 30.00, 647.0, 79.900, 2.8822, 61.995, 3.8794, 6.108e-02, 597.663
400.0, 30.00, 648.0, 79.039, 2.9224, 60.027, 4.0180, 6.882e-02, 570.404
400.0, 30.00, 649.0, 78.158, 2.9641, 57.873, 4.1792, 7.886e-02, 490.539
400.0, 30.00, 651.0, 76.328, 3.0527, 53.034, 4.5845, 1.093e-01, 341.453
400.0, 30.00, 652.0, 75.378, 3.0999, 50.041, 4.8715, 1.364e-01, 274.568
#
# I hope everything is going well. I am sending you the data points we produced for the LISA WG report in the 2HDM. I hope they are useful! The relevant columns are Tn, alpha_n and beta_H_n (I think the points are self-explanatory, but let me know in case they are not).
# Email dated 26.10.2018

