mH, tanb, mA, Tc,      xi_c,      Tn,      xi_n,    alpha_n,   beta_H_n
#
300.0, 30.00, 525.0, 102.288, 1.9273, 99.111, 2.0745, 0.0128, 7431.9181
300.0, 30.00, 540.0, 95.517, 2.2088, 90.076, 2.4418, 0.0179, 3814.9089
300.0, 30.00, 560.0, 84.357, 2.6787, 71.913, 3.2798, 0.0372, 1152.5446
300.0, 30.00, 570.0, 77.210, 3.0079, 56.499, 4.2872, 0.0889, 441.2595
300.0, 30.00, 572.0, 75.577, 3.0884, 51.779, 4.7006, 0.1233, 322.0588
300.0, 30.00, 574.0, 73.845, 3.1764, 45.111, 5.4220, 0.2095, 159.8372
250.0, 30.00, 520.0, 85.094, 2.6436, 73.695, 3.1848, 0.0356, 1324.1535
250.0, 30.00, 525.0, 82.112, 2.7764, 68.077, 3.4935, 0.0469, 978.2045
250.0, 30.00, 530.0, 78.841, 2.9280, 61.301, 3.9261, 0.0678, 660.7647
250.0, 30.00, 535.0, 75.176, 3.1072, 51.658, 4.7118, 0.1271, 321.1665
250.0, 30.00, 537.0, 73.574, 3.1894, 45.447, 5.3806, 0.2076, 163.6078
200.0, 2.00, 503.0, 72.861, 3.2250, 43.803, 5.5875, 0.2462, 126.4624
200.0, 2.00, 502.0, 73.596, 3.1864, 47.464, 5.1448, 0.1803, 210.2648
200.0, 2.00, 501.0, 74.317, 3.1491, 50.257, 4.8486, 0.1451, 279.4192
200.0, 2.00, 500.0, 75.023, 3.1130, 52.564, 4.6263, 0.1227, 350.4174
200.0, 2.00, 499.0, 75.716, 3.0780, 54.585, 4.4460, 0.1067, 418.1627
200.0, 2.00, 490.0, 81.360, 2.8076, 67.249, 3.5411, 0.0510, 985.2456
200.0, 2.00, 480.0, 86.627, 2.5726, 76.668, 3.0328, 0.0326, 1644.1164
200.0, 10.00, 500.0, 74.989, 3.1149, 52.558, 4.6269, 0.1227, 349.3000
200.0, 30.00, 500.0, 74.987, 3.1150, 52.558, 4.6269, 0.1227, 347.9969
180.0, 30.00, 480.0, 79.156, 2.9094, 63.200, 3.7955, 0.0644, 778.0455
180.0, 30.00, 482.0, 77.960, 2.9667, 60.665, 3.9698, 0.0743, 677.4385
180.0, 30.00, 484.0, 76.720, 3.0273, 57.780, 4.1844, 0.0883, 546.4405
180.0, 30.00, 486.0, 75.436, 3.0914, 54.451, 4.4573, 0.1094, 416.8366
180.0, 30.00, 488.0, 74.104, 3.1594, 50.330, 4.8410, 0.1464, 282.9398
180.0, 30.00, 490.0, 72.719, 3.2319, 44.457, 5.5031, 0.2352, 157.6269
180.0, 30.00, 491.0, 72.005, 3.2701, 37.863, 6.4809, 0.4460, 17.4481
#
# SET 2 (YELLOW/GOLD points): 2HDM points which are currently allowed
# for Type I 2HDM, but excluded for Type II 2HDM, by LHC searches.
