m a2 Tstar vstaroverTstar alpha betaoverH
50.0 0.4 46.4235930178 4.68212735961 0.0437992070165 1365.31647158
50.0 0.5 46.905136242 4.59407956706 0.040310370781 2953.53288573
50.0 0.6 33.5175758709 7.05779677835 0.090271208544 592.054612303
50.0 0.7 29.4282999859 8.15443699143 0.114876827789 624.456620171
50.0 0.8 22.0161780992 11.0793716739 0.201037560924 1047.42600836
50.0 0.9 24.4775925715 9.92068616596 0.153993323998 1296.93391483
50.0 1.0 25.1758096778 9.61611261359 0.125309455265 3877.48280258
50.0 1.1 26.9338217126 8.95955752492 0.119814007189 2307.80971723
50.0 1.2 22.2616468966 10.9468986788 0.162927036262 3828.12739127
50.0 1.3 27.150781978 8.87766566706 0.112261023905 3739.67523868
60.0 0.3 75.025055183 0.335304278533 0.000324076121326 357143.289844
60.0 0.4 52.466544058 3.85270582672 0.031323788906 1230.46131565
60.0 0.5 41.0150003451 5.54533229517 0.0629488512414 379.39703072
60.0 0.7 20.0541262515 12.1985231833 0.339439705082 184.587701461
60.0 0.8 8.9313607071 27.5417199089 3.03127336213 2328.59396313
60.0 0.9 19.4871140171 12.558946737 0.310509072185 462.918287896
60.0 1.0 19.5712930962 12.5028300786 0.28680432859 752.676786966
60.0 1.1 31.0280965501 7.68080506052 0.0994692840925 784.872825759
60.0 1.2 26.7115331022 9.04251149029 0.13281908908 952.959584251
60.0 1.3 26.3967061867 9.15582058955 0.132226430121 1394.51426546
60.0 1.4 12.7720023321 19.2462161852 0.600058953906 2000.60171736
70.0 0.3 54.0647349125 3.68893170979 0.0323045501575 298.569451633
70.0 0.4 44.7706538979 4.94903557819 0.0563750245335 197.413596041
70.0 0.5 28.6421172486 8.41159013869 0.183590028997 66.7786438131
70.0 0.6 26.8521014961 9.00292705342 0.191088877183 91.1662019565
70.0 0.7 32.1193465961 7.41081003276 0.116473929777 150.102520292
70.0 0.8 25.4719584565 9.52275944599 0.200139850893 118.377313045
70.0 0.9 13.1454490605 18.698602069 1.34150411848 252.735926353
70.0 1.0 16.1960206918 15.1539833562 0.616106673847 255.245723603
70.0 1.1 13.4000098442 18.3412459288 1.02257563836 918.617265303
70.0 1.2 19.5531992243 12.5153558347 0.315631360705 390.063852266
